candidate_set_size,shared_cand_set_size,label_mode,ordering,k,victim_accuracy_drop_mean,victim_accuracy_drop_std,n_seeds
2500,10000,endpoint,random,860,0.03090909719467163,0.002343199513130311,5
2500,10000,endpoint,random,870,0.031016039848327636,0.00366611594934952,5
2500,10000,endpoint,random,880,0.03176472187042236,0.0033094724599212737,5
2500,10000,endpoint,random,890,0.03208556175231934,0.0036856049753950905,5
2500,10000,endpoint,random,900,0.03176470994949341,0.003331013833921217,5
2500,10000,endpoint,random,910,0.031550800800323485,0.0040726188589321494,5
2500,10000,endpoint,random,920,0.0311229944229126,0.004590850280818752,5
2500,10000,endpoint,random,930,0.032727277278900145,0.004744025524703499,5
2500,10000,endpoint,random,940,0.032299470901489255,0.005315403397579283,5
2500,10000,endpoint,random,950,0.033155083656311035,0.004360847612702218,5
2500,10000,endpoint,random,960,0.03422459363937378,0.004661918753476414,5
2500,10000,endpoint,random,970,0.035187160968780516,0.005036416390792803,5
2500,10000,endpoint,random,980,0.03572192192077637,0.005801604519153972,5
2500,10000,endpoint,random,990,0.03486632108688355,0.005575380632929659,5
2500,10000,endpoint,random,1000,0.03614972829818726,0.005962041879098171,5
2500,10000,endpoint,random,1010,0.03625667095184326,0.006842013176583629,5
2500,10000,endpoint,random,1020,0.0365775465965271,0.006434940322640855,5
2500,10000,endpoint,random,1030,0.03582888841629028,0.005505705028123201,5
2500,10000,endpoint,random,1040,0.03625667095184326,0.006477008655311042,5
2500,10000,endpoint,random,1050,0.03647059202194214,0.005510880092303728,5
2500,10000,endpoint,random,1060,0.03582887649536133,0.004360845785446629,5
2500,10000,endpoint,random,1070,0.036791443824768066,0.003826434473939077,5
2500,10000,endpoint,random,1080,0.03657753467559814,0.002716248288737178,5
2500,10000,endpoint,random,1090,0.037219250202178956,0.0018754971783339087,5
2500,10000,endpoint,random,1100,0.037540102005004884,0.002630677139344213,5
2500,10000,endpoint,random,1110,0.037860965728759764,0.002312510433720156,5
2500,10000,endpoint,random,1120,0.03818181753158569,0.0033947836568382827,5
2500,10000,endpoint,random,1130,0.037647056579589847,0.003976703223116039,5
2500,10000,endpoint,random,1140,0.037112307548522946,0.00377376713418528,5
2500,10000,endpoint,random,1150,0.03732621669769287,0.0030579738787220975,5
2500,10000,endpoint,random,1160,0.038288772106170654,0.003352398729061739,5
2500,10000,endpoint,random,1170,0.03807487487792969,0.003712646489404399,5
2500,10000,endpoint,random,1180,0.037860977649688723,0.0038820668641444105,5
2500,10000,endpoint,random,1190,0.037219250202178956,0.0038114511884718284,5
2500,10000,endpoint,random,1200,0.0377540111541748,0.003697197784734927,5
2500,10000,endpoint,random,1210,0.037860965728759764,0.004149113853634498,5
2500,10000,endpoint,random,1220,0.03807486295700073,0.0036739174589000764,5
2500,10000,endpoint,random,1230,0.03732620477676392,0.0036543966306197217,5
2500,10000,endpoint,random,1240,0.03818182945251465,0.0039040980205686665,5
2500,10000,endpoint,random,1250,0.03850266933441162,0.0036661420319981995,5
2500,10000,endpoint,random,1260,0.03839571475982666,0.003654390961132755,5
2500,10000,endpoint,random,1270,0.038716578483581544,0.0037164676492357543,5
2500,10000,endpoint,random,1280,0.039144384860992434,0.00435097137003081,5
2500,10000,endpoint,random,1290,0.038609635829925534,0.004367399175374926,5
2500,10000,endpoint,random,1300,0.03935829401016235,0.004836546187631687,5
2500,10000,endpoint,random,1310,0.03967913389205933,0.0047740586396904415,5
2500,10000,endpoint,random,1320,0.03978610038757324,0.0045627256223348045,5
2500,10000,endpoint,random,1330,0.03967913389205933,0.005176405806177374,5
2500,10000,endpoint,random,1340,0.04096256494522095,0.004982158596636125,5
